ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
0,Análisis del problema,2/19/21,5/31/21,72,0,36.0,,,1,,,"#000000",,
5,"  Origen del problema",2/19/21,2/26/21,6,0,18.0,,,1.1,IC;FM;AH,0:100.00;1:100.00;2:100.00,,,
7,"  Definición del alcance",3/1/21,3/11/21,9,0,5.4,,5,1.2,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
9,"  Métricas de desempeño",5/3/21,5/31/21,21,0,12.6,,,1.3,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
11,Revisión Bibliográfica,3/1/21,6/15/21,77,0,37.8,,,2,,,"#000000",,
14,"  Lectura inicial de papers relacionados",3/1/21,3/12/21,10,0,6.0,,,2.1,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
83,"  Lectura detallada de papers relacionados",5/3/21,5/31/21,21,0,12.6,,14-FS>P0D,2.2,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
15,"  Estudio de arquitecturas para problemas similares",5/3/21,6/15/21,32,0,19.2,,,2.3,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
17,Modelo de aprendizaje profundo,3/1/21,10/29/21,175,0,358.3,,,3,,,"#000000",,
31,"  Implementación del baseline",3/15/21,4/30/21,35,0,49.0,,14,3.1,IC;FM;AH,0:60.00;1:30.00;2:50.00,,,
32,"  Preprocesamiento de los datos",3/1/21,4/30/21,45,0,67.5,,,3.2,IC;FM;AH,0:40.00;1:60.00;2:50.00,,,
91,"  Implementación de posibles modelos",5/17/21,7/14/21,43,0,79.2,,15-SS>P0D;32-FS>P0D,3.3,,,,,
102,"    Parte 1",5/17/21,5/31/21,11,0,8.8,,,3.3.1,IC;AH,0:40.00;2:40.00,,,
101,"    Parte 2",6/1/21,7/14/21,32,0,70.4,,,3.3.2,IC;FM;AH,0:80.00;1:60.00;2:80.00,,,
33,"  Analisis y selección de los mejores modelos",7/15/21,8/13/21,22,0,19.8,,91,3.4,IC;FM;AH,0:30.00;1:30.00;2:30.00,,,
34,"  Entrenamiento de los modelos seleccionados",8/2/21,10/29/21,65,0,117.0,,33-SS>P0D,3.5,IC;FM;AH,0:60.00;1:60.00;2:60.00,,,
35,"  Testing y optimización de hiperparámetros",9/1/21,10/29/21,43,0,25.8,,34-SS>P0D,3.6,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
43,Análisis de los resultados,10/1/21,1/14/22,76,0,51.9,,,4,,,"#000000",,
51,"  Comparación del desempeño de distintas arquitecturas",10/1/21,11/12/21,31,0,18.6,,34-SS>P0D,4.1,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
52,"  Elección de la mejor arquitectura",11/15/21,12/13/21,21,0,18.9,,51,4.2,IC;FM;AH,0:30.00;1:30.00;2:30.00,,,
53,"  Conclusiones",12/14/21,1/14/22,24,0,14.4,IC,52,4.3,IC;FM;AH,0:20.00;1:20.00;2:20.00,,,
47,Documentación,9/1/21,3/1/22,130,0,151.5,,,5,,,"#000000",,
54,"  Documentación de primera etapa",9/1/21,9/15/21,11,0,3.3,IC,33-FS>P0D,5.1,IC;FM;AH,0:10.00;1:10.00;2:10.00,,,
96,"  Documentación de segunda etapa",11/15/21,12/1/21,13,0,3.9,,51-FS>P0D,5.2,IC;FM;AH,0:10.00;1:10.00;2:10.00,,,
55,"  Documentación final",12/2/21,2/14/22,53,0,111.3,,54-FS>P0D;96-FS>P0D,5.3,IC;FM;AH,0:70.00;1:70.00;2:70.00,,,
56,"  Cierre y defensa",2/15/22,3/1/22,11,0,33.0,,55,5.4,IC;FM;AH,0:100.00;1:100.00;2:100.00,,,


ID,Name,Default role,e-mail,Phone,Assignment role,Standard rate
0,IC,SoftwareDevelopment:2,,,,1
1,FM,SoftwareDevelopment:2,,,,1
2,AH,SoftwareDevelopment:2,,,,1
