Img1,Img2,rmse
ART_2020001_000021.FR,ART_2020001_001021.FR,0.0
ART_2020001_001021.FR,ART_2020001_002021.FR,0.0
ART_2020001_002021.FR,ART_2020001_003021.FR,0.0
ART_2020001_003021.FR,ART_2020001_004021.FR,0.0
ART_2020001_004021.FR,ART_2020001_005021.FR,0.0
ART_2020001_005021.FR,ART_2020001_010021.FR,0.0
ART_2020001_010021.FR,ART_2020001_011021.FR,0.0
ART_2020001_011021.FR,ART_2020001_012021.FR,0.0
ART_2020001_012021.FR,ART_2020001_013021.FR,0.0
ART_2020001_013021.FR,ART_2020001_014021.FR,0.0
ART_2020001_014021.FR,ART_2020001_015021.FR,0.0
ART_2020001_015021.FR,ART_2020001_020021.FR,0.0
ART_2020001_020021.FR,ART_2020001_021021.FR,0.0
ART_2020001_021021.FR,ART_2020001_022021.FR,0.0
ART_2020001_022021.FR,ART_2020001_023021.FR,0.0
ART_2020001_023021.FR,ART_2020001_024021.FR,0.0
ART_2020001_024021.FR,ART_2020001_025021.FR,0.0
ART_2020001_025021.FR,ART_2020001_030021.FR,0.0
ART_2020001_030021.FR,ART_2020001_031021.FR,0.0
ART_2020001_031021.FR,ART_2020001_032021.FR,0.0
ART_2020001_032021.FR,ART_2020001_033021.FR,0.0
ART_2020001_033021.FR,ART_2020001_034021.FR,0.0
ART_2020001_034021.FR,ART_2020001_035021.FR,0.0
ART_2020001_035021.FR,ART_2020001_040021.FR,0.0
ART_2020001_040021.FR,ART_2020001_041021.FR,0.0
ART_2020001_041021.FR,ART_2020001_042021.FR,0.0
ART_2020001_042021.FR,ART_2020001_043021.FR,0.0
ART_2020001_043021.FR,ART_2020001_044021.FR,0.0
ART_2020001_044021.FR,ART_2020001_045021.FR,0.0
ART_2020001_045021.FR,ART_2020001_050021.FR,0.0
ART_2020001_050021.FR,ART_2020001_051021.FR,0.0
ART_2020001_051021.FR,ART_2020001_052021.FR,0.0
ART_2020001_052021.FR,ART_2020001_053021.FR,0.0
ART_2020001_053021.FR,ART_2020001_054021.FR,0.0
ART_2020001_054021.FR,ART_2020001_055021.FR,0.0
ART_2020001_055021.FR,ART_2020001_060021.FR,0.0
ART_2020001_060021.FR,ART_2020001_061021.FR,0.0
ART_2020001_061021.FR,ART_2020001_062021.FR,0.0
ART_2020001_062021.FR,ART_2020001_063021.FR,0.0
ART_2020001_063021.FR,ART_2020001_064021.FR,0.0
ART_2020001_064021.FR,ART_2020001_065021.FR,0.0
ART_2020001_065021.FR,ART_2020001_070021.FR,0.0
ART_2020001_070021.FR,ART_2020001_071021.FR,0.0
ART_2020001_071021.FR,ART_2020001_072021.FR,0.0
ART_2020001_072021.FR,ART_2020001_073021.FR,0.0
ART_2020001_073021.FR,ART_2020001_074021.FR,0.0
ART_2020001_074021.FR,ART_2020001_075021.FR,0.0
ART_2020001_075021.FR,ART_2020001_080021.FR,0.0
ART_2020001_080021.FR,ART_2020001_081021.FR,0.0
ART_2020001_081021.FR,ART_2020001_082021.FR,7.010892
ART_2020001_082021.FR,ART_2020001_083021.FR,13.834189
ART_2020001_083021.FR,ART_2020001_084021.FR,18.883036
ART_2020001_084021.FR,ART_2020001_085021.FR,20.501123
ART_2020001_085021.FR,ART_2020001_090021.FR,20.549362
ART_2020001_090021.FR,ART_2020001_091021.FR,21.616316
ART_2020001_091021.FR,ART_2020001_092021.FR,20.029688
ART_2020001_092021.FR,ART_2020001_093021.FR,19.625942
ART_2020001_093021.FR,ART_2020001_094021.FR,18.264029
ART_2020001_094021.FR,ART_2020001_095021.FR,17.148422
ART_2020001_095021.FR,ART_2020001_100021.FR,15.235844
ART_2020001_100021.FR,ART_2020001_101021.FR,14.349157
ART_2020001_101021.FR,ART_2020001_102021.FR,14.326125
ART_2020001_102021.FR,ART_2020001_103021.FR,13.4978285
ART_2020001_103021.FR,ART_2020001_104021.FR,13.209499
ART_2020001_104021.FR,ART_2020001_105021.FR,12.6798115
ART_2020001_105021.FR,ART_2020001_110021.FR,12.046856
ART_2020001_110021.FR,ART_2020001_111021.FR,11.242501
ART_2020001_111021.FR,ART_2020001_112021.FR,10.816081
ART_2020001_112021.FR,ART_2020001_113021.FR,10.45766
ART_2020001_113021.FR,ART_2020001_114021.FR,10.155988
ART_2020001_114021.FR,ART_2020001_115021.FR,9.939381
ART_2020001_115021.FR,ART_2020001_120021.FR,9.694655
ART_2020001_120021.FR,ART_2020001_121021.FR,9.550667
ART_2020001_121021.FR,ART_2020001_122021.FR,9.432564
ART_2020001_122021.FR,ART_2020001_123021.FR,9.3016205
ART_2020001_123021.FR,ART_2020001_124021.FR,9.226672
ART_2020001_124021.FR,ART_2020001_125021.FR,9.213699
ART_2020001_125021.FR,ART_2020001_130021.FR,9.2490015
ART_2020001_130021.FR,ART_2020001_131021.FR,9.276278
ART_2020001_131021.FR,ART_2020001_132021.FR,9.33279
ART_2020001_132021.FR,ART_2020001_133021.FR,9.449702
ART_2020001_133021.FR,ART_2020001_134021.FR,9.543176
ART_2020001_134021.FR,ART_2020001_135021.FR,9.666449
ART_2020001_135021.FR,ART_2020001_140021.FR,9.827791
ART_2020001_140021.FR,ART_2020001_141021.FR,9.979251
ART_2020001_141021.FR,ART_2020001_142021.FR,10.151173
ART_2020001_142021.FR,ART_2020001_143021.FR,10.334118
ART_2020001_143021.FR,ART_2020001_144021.FR,10.560803
ART_2020001_144021.FR,ART_2020001_145021.FR,10.846695
ART_2020001_145021.FR,ART_2020001_150021.FR,11.219216
ART_2020001_150021.FR,ART_2020001_151021.FR,11.624402
ART_2020001_151021.FR,ART_2020001_152021.FR,11.970238
ART_2020001_152021.FR,ART_2020001_153021.FR,12.215747
ART_2020001_153021.FR,ART_2020001_154021.FR,12.279568
ART_2020001_154021.FR,ART_2020001_155021.FR,12.337903
ART_2020001_155021.FR,ART_2020001_160021.FR,12.382732
ART_2020001_160021.FR,ART_2020001_161021.FR,12.53031
ART_2020001_161021.FR,ART_2020001_162021.FR,12.710512
ART_2020001_162021.FR,ART_2020001_163021.FR,12.891133
ART_2020001_163021.FR,ART_2020001_164021.FR,13.042263
ART_2020001_164021.FR,ART_2020001_165021.FR,13.15436
ART_2020001_165021.FR,ART_2020001_170021.FR,13.233952
ART_2020001_170021.FR,ART_2020001_171021.FR,13.337189
ART_2020001_171021.FR,ART_2020001_172021.FR,13.395227
ART_2020001_172021.FR,ART_2020001_173021.FR,13.441783
ART_2020001_173021.FR,ART_2020001_174021.FR,13.497709
ART_2020001_174021.FR,ART_2020001_175021.FR,13.530307
ART_2020001_175021.FR,ART_2020001_180021.FR,13.59641
ART_2020001_180021.FR,ART_2020001_181021.FR,13.637293
ART_2020001_181021.FR,ART_2020001_182021.FR,13.742446
ART_2020001_182021.FR,ART_2020001_183021.FR,13.805797
ART_2020001_183021.FR,ART_2020001_184021.FR,13.939736
ART_2020001_184021.FR,ART_2020001_185021.FR,14.114083
ART_2020001_185021.FR,ART_2020001_190021.FR,14.188051
ART_2020001_190021.FR,ART_2020001_191021.FR,14.220393
ART_2020001_191021.FR,ART_2020001_192021.FR,14.05748
ART_2020001_192021.FR,ART_2020001_193021.FR,13.906859
ART_2020001_193021.FR,ART_2020001_194021.FR,13.786546
ART_2020001_194021.FR,ART_2020001_195021.FR,13.717182
ART_2020001_195021.FR,ART_2020001_200021.FR,13.745959
ART_2020001_200021.FR,ART_2020001_201021.FR,13.783189
ART_2020001_201021.FR,ART_2020001_202021.FR,13.815302
ART_2020001_202021.FR,ART_2020001_203021.FR,13.894935
ART_2020001_203021.FR,ART_2020001_204021.FR,13.990075
ART_2020001_204021.FR,ART_2020001_205021.FR,14.086173
ART_2020001_205021.FR,ART_2020001_210021.FR,14.369061
ART_2020001_210021.FR,ART_2020001_211021.FR,14.432711
ART_2020001_211021.FR,ART_2020001_212021.FR,14.704476
ART_2020001_212021.FR,ART_2020001_213021.FR,15.015322
ART_2020001_213021.FR,ART_2020001_214021.FR,13.642147
ART_2020001_214021.FR,ART_2020001_215021.FR,12.1828985
ART_2020001_215021.FR,ART_2020001_220021.FR,10.768689
ART_2020001_220021.FR,ART_2020001_221021.FR,10.281108
ART_2020001_221021.FR,ART_2020001_222021.FR,9.995894
ART_2020001_222021.FR,ART_2020001_223021.FR,10.099161
ART_2020001_223021.FR,ART_2020001_224021.FR,10.776045
ART_2020001_224021.FR,ART_2020001_225021.FR,9.29066
ART_2020001_225021.FR,ART_2020001_230021.FR,8.097251
ART_2020001_230021.FR,ART_2020001_231021.FR,6.5024633
ART_2020001_231021.FR,ART_2020001_232021.FR,7.5523267
ART_2020001_232021.FR,ART_2020001_233021.FR,5.2983465
ART_2020001_233021.FR,ART_2020001_234021.FR,0.93779004
ART_2020001_234021.FR,ART_2020001_235021.FR,0.0
ART_2020001_235021.FR,ART_2020002_000021.FR,0.0
ART_2020002_000021.FR,ART_2020002_001021.FR,0.0
ART_2020002_001021.FR,ART_2020002_002021.FR,0.0
ART_2020002_002021.FR,ART_2020002_003021.FR,0.0
ART_2020002_003021.FR,ART_2020002_004021.FR,0.0
ART_2020002_004021.FR,ART_2020002_005021.FR,0.0
ART_2020002_005021.FR,ART_2020002_010021.FR,0.0
ART_2020002_010021.FR,ART_2020002_011021.FR,0.0
ART_2020002_011021.FR,ART_2020002_012021.FR,0.0
ART_2020002_012021.FR,ART_2020002_013021.FR,0.0
ART_2020002_013021.FR,ART_2020002_014021.FR,0.0
ART_2020002_014021.FR,ART_2020002_015021.FR,0.0
ART_2020002_015021.FR,ART_2020002_020021.FR,0.0
ART_2020002_020021.FR,ART_2020002_021021.FR,0.0
ART_2020002_021021.FR,ART_2020002_022021.FR,0.0
ART_2020002_022021.FR,ART_2020002_023021.FR,0.0
ART_2020002_023021.FR,ART_2020002_024021.FR,0.0
ART_2020002_024021.FR,ART_2020002_025021.FR,0.0
ART_2020002_025021.FR,ART_2020002_030021.FR,0.0
ART_2020002_030021.FR,ART_2020002_031021.FR,0.0
ART_2020002_031021.FR,ART_2020002_032021.FR,0.0
ART_2020002_032021.FR,ART_2020002_033021.FR,0.0
ART_2020002_033021.FR,ART_2020002_034021.FR,0.0
ART_2020002_034021.FR,ART_2020002_035021.FR,0.0
ART_2020002_035021.FR,ART_2020002_040021.FR,0.0
ART_2020002_040021.FR,ART_2020002_041021.FR,0.0
ART_2020002_041021.FR,ART_2020002_042021.FR,0.0
ART_2020002_042021.FR,ART_2020002_043021.FR,0.0
ART_2020002_043021.FR,ART_2020002_044021.FR,0.0
ART_2020002_044021.FR,ART_2020002_045021.FR,0.0
ART_2020002_045021.FR,ART_2020002_050021.FR,0.0
ART_2020002_050021.FR,ART_2020002_051021.FR,0.0
ART_2020002_051021.FR,ART_2020002_052021.FR,0.0
ART_2020002_052021.FR,ART_2020002_053021.FR,0.0
ART_2020002_053021.FR,ART_2020002_054021.FR,0.0
ART_2020002_054021.FR,ART_2020002_055021.FR,0.0
ART_2020002_055021.FR,ART_2020002_060021.FR,0.0
ART_2020002_060021.FR,ART_2020002_061021.FR,0.0
ART_2020002_061021.FR,ART_2020002_062021.FR,0.0
ART_2020002_062021.FR,ART_2020002_063021.FR,0.0
ART_2020002_063021.FR,ART_2020002_064021.FR,0.0
ART_2020002_064021.FR,ART_2020002_065021.FR,0.0
ART_2020002_065021.FR,ART_2020002_070021.FR,0.0
ART_2020002_070021.FR,ART_2020002_071021.FR,0.0
ART_2020002_071021.FR,ART_2020002_072021.FR,0.0
ART_2020002_072021.FR,ART_2020002_073021.FR,0.0
ART_2020002_073021.FR,ART_2020002_074021.FR,0.0
ART_2020002_074021.FR,ART_2020002_075021.FR,0.0
ART_2020002_075021.FR,ART_2020002_080021.FR,0.0
ART_2020002_080021.FR,ART_2020002_081021.FR,0.0
ART_2020002_081021.FR,ART_2020002_082021.FR,3.4751587
ART_2020002_082021.FR,ART_2020002_083021.FR,9.922854
ART_2020002_083021.FR,ART_2020002_084021.FR,14.084221
ART_2020002_084021.FR,ART_2020002_085021.FR,16.821226
ART_2020002_085021.FR,ART_2020002_090021.FR,19.694832
ART_2020002_090021.FR,ART_2020002_091021.FR,20.407064
ART_2020002_091021.FR,ART_2020002_092021.FR,19.371307
ART_2020002_092021.FR,ART_2020002_093021.FR,18.90436
ART_2020002_093021.FR,ART_2020002_094021.FR,17.351751
ART_2020002_094021.FR,ART_2020002_095021.FR,15.632534
ART_2020002_095021.FR,ART_2020002_100021.FR,14.545451
ART_2020002_100021.FR,ART_2020002_101021.FR,13.943401
ART_2020002_101021.FR,ART_2020002_102021.FR,13.879267
ART_2020002_102021.FR,ART_2020002_103021.FR,13.6436
ART_2020002_103021.FR,ART_2020002_104021.FR,13.414867
ART_2020002_104021.FR,ART_2020002_105021.FR,12.776575
ART_2020002_105021.FR,ART_2020002_110021.FR,11.982724
ART_2020002_110021.FR,ART_2020002_111021.FR,11.36459
ART_2020002_111021.FR,ART_2020002_112021.FR,11.036569
ART_2020002_112021.FR,ART_2020002_113021.FR,10.743217
ART_2020002_113021.FR,ART_2020002_114021.FR,10.525386
ART_2020002_114021.FR,ART_2020002_115021.FR,10.336915
ART_2020002_115021.FR,ART_2020002_120021.FR,10.15529
ART_2020002_120021.FR,ART_2020002_121021.FR,10.062143
ART_2020002_121021.FR,ART_2020002_122021.FR,9.913448
ART_2020002_122021.FR,ART_2020002_123021.FR,9.865845
ART_2020002_123021.FR,ART_2020002_124021.FR,9.819951
ART_2020002_124021.FR,ART_2020002_125021.FR,9.787749
ART_2020002_125021.FR,ART_2020002_130021.FR,9.793035
ART_2020002_130021.FR,ART_2020002_131021.FR,9.847345
ART_2020002_131021.FR,ART_2020002_132021.FR,9.936498
ART_2020002_132021.FR,ART_2020002_133021.FR,10.068265
ART_2020002_133021.FR,ART_2020002_134021.FR,10.203702
ART_2020002_134021.FR,ART_2020002_135021.FR,10.394077
ART_2020002_135021.FR,ART_2020002_140021.FR,10.576703
ART_2020002_140021.FR,ART_2020002_141021.FR,10.789823
ART_2020002_141021.FR,ART_2020002_142021.FR,10.939683
ART_2020002_142021.FR,ART_2020002_143021.FR,11.186528
ART_2020002_143021.FR,ART_2020002_144021.FR,11.422767
ART_2020002_144021.FR,ART_2020002_145021.FR,11.7259245
ART_2020002_145021.FR,ART_2020002_150021.FR,12.129741
ART_2020002_150021.FR,ART_2020002_151021.FR,12.557466
ART_2020002_151021.FR,ART_2020002_152021.FR,13.005864
ART_2020002_152021.FR,ART_2020002_153021.FR,13.181695
ART_2020002_153021.FR,ART_2020002_154021.FR,13.196475
ART_2020002_154021.FR,ART_2020002_155021.FR,13.193704
ART_2020002_155021.FR,ART_2020002_160021.FR,13.18398
ART_2020002_160021.FR,ART_2020002_161021.FR,13.244033
ART_2020002_161021.FR,ART_2020002_162021.FR,13.352979
ART_2020002_162021.FR,ART_2020002_163021.FR,13.464583
