Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020001_082021.FR,0.0,0.0,0.0,70,76,ART_2020001_083021.FR,15.256806
ART_2020001_083021.FR,0.0,313.32913,2.4173858,0,50,ART_2020001_084021.FR,18.883036
ART_2020001_084021.FR,0.0,339.81976,6.3748555,0,44,ART_2020001_085021.FR,20.501123
ART_2020001_085021.FR,0.0,337.86194,11.4420185,0,38,ART_2020001_090021.FR,20.549362
ART_2020001_090021.FR,0.0,327.7279,16.960615,0,31,ART_2020001_091021.FR,21.616316
ART_2020001_091021.FR,0.0,301.3681,23.091492,0,22,ART_2020001_092021.FR,20.029688
ART_2020001_092021.FR,0.0,300.92352,28.006489,0,6,ART_2020001_093021.FR,19.625942
ART_2020001_093021.FR,0.0,247.3738,32.613186,0,0,ART_2020001_094021.FR,18.264029
ART_2020001_094021.FR,0.0,319.4469,35.651413,0,0,ART_2020001_095021.FR,17.148422
ART_2020001_095021.FR,0.0,284.90906,37.348064,0,0,ART_2020001_100021.FR,15.235844
ART_2020001_100021.FR,0.0,262.13217,37.357155,0,0,ART_2020001_101021.FR,14.349157
ART_2020001_101021.FR,0.0,252.63367,37.008076,0,0,ART_2020001_102021.FR,14.326125
ART_2020001_102021.FR,0.0,245.8226,36.800625,0,0,ART_2020001_103021.FR,13.4978285
ART_2020001_103021.FR,4.0298796,276.65976,35.961765,0,0,ART_2020001_104021.FR,13.209499
ART_2020001_104021.FR,3.80864,271.62015,35.33702,0,0,ART_2020001_105021.FR,12.6798115
ART_2020001_105021.FR,3.4705539,229.69354,34.75515,0,0,ART_2020001_110021.FR,12.046856
ART_2020001_110021.FR,2.3031483,223.7321,33.990288,0,0,ART_2020001_111021.FR,11.242501
ART_2020001_111021.FR,2.1886806,183.52808,33.025455,0,0,ART_2020001_112021.FR,10.816081
ART_2020001_112021.FR,0.8195121,164.19977,32.10522,0,0,ART_2020001_113021.FR,10.45766
ART_2020001_113021.FR,0.0,168.34846,31.246431,0,0,ART_2020001_114021.FR,10.155988
ART_2020001_114021.FR,1.6474781,149.47783,30.465637,0,0,ART_2020001_115021.FR,9.939381
ART_2020001_115021.FR,1.2376426,151.41925,29.767782,0,0,ART_2020001_120021.FR,9.694655
ART_2020001_120021.FR,1.5772611,145.76965,29.122473,0,0,ART_2020001_121021.FR,9.550667
ART_2020001_121021.FR,0.0,135.82053,28.52078,0,0,ART_2020001_122021.FR,9.432564
ART_2020001_122021.FR,0.06105439,136.71979,27.970266,0,0,ART_2020001_123021.FR,9.3016205
